"","year","mean.cnt","sd.cnt","n.records","mean.LOTI","sd.LOTI","n.LOTI"
"105",1984,4.21428571428571,2.40518099529727,350,21.5,13.0418905489545,12
"106",1985,2.13427561837456,1.2867264618383,283,20.0833333333333,9.74640570889722,12
"107",1986,1.72413793103448,0.994236263232457,232,24.3333333333333,14.9929276256467,12
"108",1987,2.93146417445483,1.51502084539909,321,40.25,12.6930546506204,12
"109",1988,7.93989071038251,3.3656921760077,366,49.3333333333333,13.8125985530558,12
"110",1989,12.9753424657534,3.38580508150978,365,37.8333333333333,12.3128412889171,12
"111",1990,13.0630136986301,3.80555936774873,365,52,13.797232924164,12
"112",1991,12.9013698630137,3.69007032418637,365,51.6666666666667,13.9891733028428,12
"113",1992,8.35792349726776,3.81421710376838,366,22.9166666666667,19.028487415802,12
"114",1993,4.54016620498615,1.85567267679682,361,26.5,10.4141512114308,12
"115",1994,3.14697406340058,1.5028915509032,347,37.25,14.2070725024865,12
"116",1995,2.14715719063545,1.1285274059945,299,55.6666666666667,13.5601912921163,12
"117",1996,1.44549763033175,0.602072700675856,211,47.3333333333333,12.7873043099455,12
"118",1997,2.24025974025974,1.20560685142296,308,53.25,12.7715949028943,12
"119",1998,5.35635359116022,2.07946721464601,362,83.75,16.9444278854034,12
"120",1999,7.48493150684931,2.78692350924719,365,59.9166666666667,11.743147582804,12
"121",2000,9.80874316939891,2.61639301112272,366,57.4166666666667,15.2640893682664,12
"122",2001,9.52328767123288,2.79179136964661,365,68.25,6.71666854650699,12
"123",2002,9.64383561643836,2.6631895640796,365,79.4166666666667,16.1158213247013,12
"124",2003,5.87397260273973,2.52253728216386,365,77.5,10.2735317464567,12
"125",2004,3.62430939226519,1.61614609243716,362,67.8333333333333,19.2062174276662,12
"126",2005,2.80172413793103,1.49091288352957,348,87.3333333333333,8.22781682446624,12
"127",2006,2.01689189189189,1.06232163494378,296,77.4166666666667,12.2656826021616,12
"128",2007,1.44339622641509,0.696370940526912,212,85.3333333333333,15.3701797075514,12
"129",2008,1.25773195876289,0.599971362432267,97,64.75,16.1252202240071,12
"130",2009,1.18095238095238,0.45533065713392,105,79,7.23627226986633,12
"131",2010,1.98095238095238,1.05257602458641,315,92.1666666666667,12.4742158313082,12
"132",2011,4.93388429752066,2.42250795980225,363,78.8333333333333,9.17341349506906,12
"133",2012,5.05191256830601,1.86533897261214,366,77.6666666666667,14.4683562761405,12
"134",2013,5.81643835616438,2.23527008094962,365,82.1666666666667,11.0522176576249,12
"135",2014,6.7032967032967,2.06502826103838,364,88.1666666666667,13.5836354307362,12
"136",2015,4.21369863013699,1.91962930462328,365,99.0833333333333,20.3847462281942,12
"137",2016,3.2,0.836660026534076,5,134,NA,12
