"","LOTI","datetime"
"575",8,1927-11-01
"576",-25,1927-12-01
"577",3,1928-01-01
"578",-1,1928-02-01
"579",-12,1928-03-01
"580",-13,1928-04-01
"581",-40,1928-05-01
"582",-54,1928-06-01
"583",-5,1928-07-01
"584",-5,1928-08-01
"585",2,1928-09-01
"586",-5,1928-10-01
"587",6,1928-11-01
"588",-7,1928-12-01
"589",-29,1929-01-01
"590",-48,1929-02-01
"591",-38,1929-03-01
"592",-44,1929-04-01
"593",-42,1929-05-01
"594",-43,1929-06-01
"595",-38,1929-07-01
"596",-39,1929-08-01
"597",-21,1929-09-01
"598",0,1929-10-01
"599",-8,1929-11-01
"600",-60,1929-12-01
"601",-23,1930-01-01
"602",-19,1930-02-01
"603",-7,1930-03-01
"604",-21,1930-04-01
"605",-17,1930-05-01
"606",-23,1930-06-01
"607",-20,1930-07-01
"608",-20,1930-08-01
"609",-15,1930-09-01
"610",-29,1930-10-01
"611",9,1930-11-01
"612",-8,1930-12-01
"613",-13,1931-01-01
"614",-27,1931-02-01
"615",-7,1931-03-01
"616",-28,1931-04-01
"617",-18,1931-05-01
"618",-9,1931-06-01
"619",7,1931-07-01
"620",8,1931-08-01
"621",-18,1931-09-01
"622",6,1931-10-01
"623",-15,1931-11-01
"624",8,1931-12-01
"625",36,1932-01-01
"626",-27,1932-02-01
"627",-22,1932-03-01
"628",3,1932-04-01
"629",-23,1932-05-01
"630",-47,1932-06-01
"631",-23,1932-07-01
"632",-20,1932-08-01
"633",1,1932-09-01
"634",6,1932-10-01
"635",-11,1932-11-01
"636",-17,1932-12-01
"637",-33,1933-01-01
"638",-25,1933-02-01
"639",-22,1933-03-01
"640",-19,1933-04-01
"641",-15,1933-05-01
"642",-27,1933-06-01
"643",-14,1933-07-01
"644",-21,1933-08-01
"645",-12,1933-09-01
"646",-8,1933-10-01
"647",-39,1933-11-01
"648",-54,1933-12-01
"649",-16,1934-01-01
"650",-12,1934-02-01
"651",-36,1934-03-01
"652",-37,1934-04-01
"653",-3,1934-05-01
"654",-20,1934-06-01
"655",-1,1934-07-01
"656",3,1934-08-01
"657",-9,1934-09-01
"658",-7,1934-10-01
"659",4,1934-11-01
"660",11,1934-12-01
"661",-32,1935-01-01
"662",21,1935-02-01
"663",2,1935-03-01
"664",-49,1935-04-01
"665",-35,1935-05-01
"666",-23,1935-06-01
"667",-26,1935-07-01
"668",-23,1935-08-01
"669",-40,1935-09-01
"670",-6,1935-10-01
"671",-34,1935-11-01
"672",-17,1935-12-01
"673",-31,1936-01-01
"674",-46,1936-02-01
"675",-20,1936-03-01
"676",-5,1936-04-01
"677",-30,1936-05-01
"678",-15,1936-06-01
"679",22,1936-07-01
"680",2,1936-08-01
"681",0,1936-09-01
"682",3,1936-10-01
"683",4,1936-11-01
"684",7,1936-12-01
"685",-10,1937-01-01
"686",4,1937-02-01
"687",-21,1937-03-01
"688",-20,1937-04-01
"689",-4,1937-05-01
"690",-4,1937-06-01
"691",-9,1937-07-01
"692",4,1937-08-01
"693",23,1937-09-01
"694",18,1937-10-01
"695",27,1937-11-01
"696",-7,1937-12-01
"697",0,1938-01-01
"698",2,1938-02-01
"699",20,1938-03-01
"700",24,1938-04-01
"701",8,1938-05-01
"702",-11,1938-06-01
"703",1,1938-07-01
"704",-7,1938-08-01
"705",9,1938-09-01
"706",32,1938-10-01
"707",10,1938-11-01
"708",-11,1938-12-01
"709",-1,1939-01-01
"710",-14,1939-02-01
"711",-36,1939-03-01
"712",-17,1939-04-01
"713",0,1939-05-01
"714",-8,1939-06-01
"715",-12,1939-07-01
"716",-26,1939-08-01
"717",-11,1939-09-01
"718",-9,1939-10-01
"719",-15,1939-11-01
"720",35,1939-12-01
"721",-19,1940-01-01
"722",8,1940-02-01
"723",12,1940-03-01
"724",1,1940-04-01
"725",4,1940-05-01
"726",15,1940-06-01
"727",20,1940-07-01
"728",8,1940-08-01
"729",16,1940-09-01
"730",4,1940-10-01
"731",4,1940-11-01
"732",22,1940-12-01
"733",2,1941-01-01
"734",21,1941-02-01
"735",-13,1941-03-01
"736",-1,1941-04-01
"737",8,1941-05-01
"738",12,1941-06-01
"739",27,1941-07-01
"740",4,1941-08-01
"741",-20,1941-09-01
"742",9,1941-10-01
"743",-5,1941-11-01
"744",2,1941-12-01
"745",23,1942-01-01
"746",-2,1942-02-01
"747",-3,1942-03-01
"748",-2,1942-04-01
"749",2,1942-05-01
"750",7,1942-06-01
"751",6,1942-07-01
"752",9,1942-08-01
"753",7,1942-09-01
"754",-1,1942-10-01
"755",11,1942-11-01
"756",7,1942-12-01
"757",-19,1943-01-01
"758",6,1943-02-01
"759",-15,1943-03-01
"760",2,1943-04-01
"761",-10,1943-05-01
"762",-10,1943-06-01
"763",10,1943-07-01
"764",-17,1943-08-01
"765",5,1943-09-01
"766",28,1943-10-01
"767",9,1943-11-01
"768",21,1943-12-01
"769",33,1944-01-01
"770",13,1944-02-01
"771",10,1944-03-01
"772",-7,1944-04-01
"773",-7,1944-05-01
"774",-11,1944-06-01
"775",2,1944-07-01
"776",5,1944-08-01
"777",22,1944-09-01
"778",22,1944-10-01
"779",1,1944-11-01
"780",-16,1944-12-01
"781",2,1945-01-01
"782",-11,1945-02-01
"783",-1,1945-03-01
"784",12,1945-04-01
"785",-27,1945-05-01
"786",-29,1945-06-01
"787",-22,1945-07-01
"788",20,1945-08-01
"789",4,1945-09-01
"790",3,1945-10-01
"791",-7,1945-11-01
"792",-34,1945-12-01
"793",2,1946-01-01
"794",-3,1946-02-01
"795",-15,1946-03-01
"796",4,1946-04-01
"797",2,1946-05-01
"798",-15,1946-06-01
"799",3,1946-07-01
"800",-11,1946-08-01
"801",0,1946-09-01
"802",-17,1946-10-01
"803",-7,1946-11-01
"804",-27,1946-12-01
"805",-8,1947-01-01
"806",6,1947-02-01
"807",21,1947-03-01
"808",14,1947-04-01
"809",-1,1947-05-01
"810",-4,1947-06-01
"811",2,1947-07-01
"812",1,1947-08-01
"813",2,1947-09-01
"814",25,1947-10-01
"815",23,1947-11-01
"816",-13,1947-12-01
"817",22,1948-01-01
"818",-14,1948-02-01
"819",-28,1948-03-01
"820",-13,1948-04-01
"821",-2,1948-05-01
"822",5,1948-06-01
"823",-16,1948-07-01
"824",-19,1948-08-01
"825",-3,1948-09-01
"826",-3,1948-10-01
"827",-18,1948-11-01
"828",-16,1948-12-01
"829",5,1949-01-01
"830",-35,1949-02-01
"831",-8,1949-03-01
"832",-26,1949-04-01
"833",-20,1949-05-01
"834",-23,1949-06-01
"835",-9,1949-07-01
"836",-14,1949-08-01
"837",-7,1949-09-01
"838",0,1949-10-01
"839",-7,1949-11-01
"840",-13,1949-12-01
"841",-28,1950-01-01
"842",-34,1950-02-01
"843",-9,1950-03-01
"844",-24,1950-04-01
"845",-24,1950-05-01
"846",-14,1950-06-01
"847",-13,1950-07-01
"848",-35,1950-08-01
"849",-19,1950-09-01
"850",-21,1950-10-01
"851",-39,1950-11-01
"852",-18,1950-12-01
"853",-37,1951-01-01
"854",-46,1951-02-01
"855",-17,1951-03-01
"856",-6,1951-04-01
"857",6,1951-05-01
"858",-12,1951-06-01
"859",-11,1951-07-01
"860",10,1951-08-01
"861",0,1951-09-01
"862",5,1951-10-01
"863",1,1951-11-01
"864",15,1951-12-01
"865",9,1952-01-01
"866",12,1952-02-01
"867",-17,1952-03-01
"868",-7,1952-04-01
"869",-13,1952-05-01
"870",-10,1952-06-01
"871",4,1952-07-01
"872",9,1952-08-01
"873",13,1952-09-01
"874",-3,1952-10-01
"875",-21,1952-11-01
"876",-4,1952-12-01
"877",11,1953-01-01
"878",7,1953-02-01
"879",15,1953-03-01
"880",10,1953-04-01
"881",-3,1953-05-01
"882",1,1953-06-01
"883",-3,1953-07-01
"884",10,1953-08-01
"885",8,1953-09-01
"886",6,1953-10-01
"887",2,1953-11-01
"888",15,1953-12-01
"889",-29,1954-01-01
"890",-8,1954-02-01
"891",-12,1954-03-01
"892",-15,1954-04-01
"893",-20,1954-05-01
"894",-21,1954-06-01
"895",-26,1954-07-01
"896",-17,1954-08-01
"897",-17,1954-09-01
"898",1,1954-10-01
"899",18,1954-11-01
"900",-10,1954-12-01
"901",24,1955-01-01
"902",-9,1955-02-01
"903",-36,1955-03-01
